,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,beast burger,ChIJFYAZjGUdWhURprd3xensSf0,33.3554726,43.7785775,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q4H+6C4, Al-Fallujah",2,0
1,مطعم كباب محمد,ChIJP-6OZRb7WRURLkcq-cWnJe4,33.3526654,43.8706277,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",9V3C+376، المزرعة,2,2
2,Al Badia Restaurant,ChIJA0R8jJsdWhURwBD5axwFHOE,33.350167,43.778084,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q2H+37P، Unnamed Road, Al-Fallujah",2,2995
3,مطعم الخيمة كافيه,ChIJBWW5BMkdWhURAFPxDQAhDRg,33.3522049,43.78667799999999,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","10, Al-Fallujah",2,21
4,مرطبات بردى ووجبات سريعة,ChIJEzaJQ00bWhUR13O49V5YmEU,33.3975861,43.6659061,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","9MX8+29J, Unnamed Road, Saqlawia",2,10
5,مأكولات صلاح,ChIJUfKEZ3sdWhUROJChBPRFxv8,33.3593589,43.7854811,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q5P+P6R, Al-Fallujah",2,346
6,ميت دكان,ChIJo22o2cQdWhUR2T2W2iSsWKs,33.3550504,43.7854811,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q4P+26F, شارع الثرثار, Al-Fallujah",2,2
7,لحم بعجين ركن الموصلي,ChIJme4PaZL3WRURWm_DMzJGUcg,33.3607764,43.7922392,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q6R+8W5, Al-Fallujah",2,4
8,قاعة الزهور,ChIJP8e6T18dWhUR9O2nd0Zxunc,33.3593745,43.7755008,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q5G+P6R, Al-Fallujah",2,26
9,MAZAJ,ChIJpW0WEuQbWhURdksWXY5IfMs,33.3996875,43.6745625,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Saqlawia,2,10
10,مطعم ايوب المحمدي,ChIJx76gZ4_3WRURKzdrxGD5xmE,33.3647079,43.8017936,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","9R72+VPM, Al-Fallujah",2,33
11,Burger factory مصنع البركر,ChIJ5dA6rJodWhUR34PnKxE3RS8,33.3559938,43.7862187,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Al-Fallujah,2,63
12,مطعم المشوار,ChIJF9HeErodWhURhQLIQmyIiwg,33.355071,43.76963689999999,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q49+3V3, الفلوجة،،, Al-Fallujah",2,4
13,مخبز المتوكل,ChIJN87YQckdWhUR_X-uSL49jEI,33.3402441,43.7715724,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8QRC+3JV, Al-Fallujah",2,0
14,مطعم زمان الخير و قاعات المها,ChIJv7tiIl4dWhURsUkt5QAcZm0,33.3444363,43.7812166,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8QVJ+PGR, الفلوجة،،",2,3
15,Restaurant Distinguished,ChIJ6VDIs973WRURkQwAiWyyb5o,33.3612977,43.7948513,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q6V+GW9, Al-Fallujah",2,78
16,yanni cafe,ChIJJQpkGdwjWhUR3iqbKaOqcis,33.223191,43.679291,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","6MFH+7PF, Falahat",2,0
17,meisamamohamadi,ChIJibZvjh4jWhURb5at7scoNjw,33.223191,43.679291,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","rtyrt 456456 nm,nm 67yjghj",2,0
18,PUBG Restaurants,ChIJP-DXn-IjWhURGuP4kSuntoQ,33.223191,43.679291,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Unnamed Road mahamad@12345678,2,0
19,رستوران نفیس,ChIJW1WA5YkjWhURUUryNV9ZQHw,33.223191,43.679291,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","6MFH+7PF, فلکه دادگستری, Zanjan",2,0
20,مطعم العافية,ChIJbxbTOeYdWhUR_nijC1C8BYo,33.346092,43.768617,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","10, Al-Fallujah",2,12
21,مطعم دار زرزور,ChIJHQnpCpwdWhUR7_wOsh8X9-c,33.3505394,43.77734419999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","9Q2G+6W9, Al-Fallujah",2,188
22,Pizza nooshin,ChIJ29KUzXojWhUReTvIE6VVrt4,33.223191,43.679291,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Su Sul,2,0
