,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,مطعم و كافيه لوكا,ChIJMbkyYwHjWBUR9V8Dw_7tyz4,32.4872398,44.4262847,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCPG+VGV, 40 St, Hillah",2,42
1,مطعم باجة أهلنا,ChIJ6y7_lX_jWBURVFGpPx98mY0,32.5080119,44.4398035,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","GC5Q+6W3, Unnamed Road, Hillah",2,18
2,Jood chicken & Burger جود,ChIJa_qg__LiWBURhLp7wXFoX70,32.496575,44.4204521,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCWC+J57, Hillah",2,62
3,Canary cuisine,ChIJDw3X8RfjWBUR2vkQTANE0zE,32.4952698,44.4470201,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCWW+3RW, Hillah",2,25
4,مأكولات منؤشة,ChIJ53i1kWjiWBURjGpy4RTk-yI,32.4821399,44.41515099999999,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCJ8+V36, حي الحسين مجاور حلويات لبنان, Hillah",2,29
5,مشاوي دربونة,ChIJ83MGE_vjWBUR4uzmGvBKtJs,32.4802981,44.4203579,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCJC+45F, Hillah",2,0
6,سعدي ابو الگص,ChIJaZu55lvjWBUR-fh4vuPJ89g,32.4805982,44.4266202,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Hillah,2,35
7,ماكولات سريعة,ChIJk2afKBjhWBURmf7jQ2eceKA,32.4598406,44.4049542,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FC53+WXP, Unnamed Road, Hillah",2,1
8,مأكولات غيث,ChIJMXENv_3iWBURMIwSyoxP0X8,32.4885625,44.4356875,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","8H46FCQP+C7, FCQP+C7P, Hillah",2,50
9,HESBURGER restaurant مطعم هسبرغر,ChIJGRViP-PjWBURgKjFroHWcl0,32.5146906,44.4376585,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","GC7Q+V3F, Unnamed Road, Hillah",2,5
10,مطعم منتجع بابل,ChIJNxrnmyD9WBURyM1JSqDLWX4,32.5402315,44.4135845,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","GCR7+2CR, Unnamed Road, سنجار",2,14
11,chili house,ChIJ06njTurjWBUR9N4QJCLwKQ8,32.4886068,44.4334412,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCQM+C9W, باب الحسين،, Hillah",2,3
12,فرايز جكن بابل,ChIJidwcU__jWBURtzGraVTL29M,32.4910516,44.4158078,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","مجمع العميد, شارع 60، حله، Iraq مقابل",2,9
13,فود فورت بابلون,ChIJy5EgI7PjWBUR2S-fOnhMyGc,32.467651,44.4215629,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Hillah",2,91
14,Zait w Zaatar,ChIJzfowA_ziWBUR_fE_5ch1wRo,32.4888047,44.4329012,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCQM+G5C, طريق كربلاء, Hillah",2,45
15,مندي الفتلاوي,ChIJYa_mDDLjWBURZC5ORw5jw-w,32.49142630000001,44.4186101,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCR9+JCX، الحلة‎،،, Hillah",2,0
16,مطعم الغدير,ChIJIQs_6arjWBURzLIh3ef3de0,32.4801055,44.43847150000001,3.6,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","FCJQ+29X، شارع المكتبات, Hillah",2,27
17,مطعم بركات القاسم,ChIJhYMaS9zjWBURTjfnHu5vHLo,32.4735652,44.4326729,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCFM+C3F, Unnamed Road, Hillah",2,21
18,لحوم ومشويات علاء,ChIJn6NRpMPjWBURmuzOaybaDgA,32.4739925,44.4258618,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCFG+H9W, شارع الجبل, Hillah",2,0
19,مطعم و مقهى لازي Lazi Restaurant & Cafe,ChIJ0U29iXvjWBUR4iJHX42KZrs,32.4884987,44.4330283,2.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCQM+96R, Hillah",2,3
20,Good restaurant,ChIJN4Slf5DhWBURkRmV4HyW_xk,32.4388963,44.4274826,2.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","CCQH+H22, Hillah",2,15
21,Fire Fire burger,ChIJv1oK3vrjWBURWBfEW3w2BYw,32.504407,44.4378862,4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","GC3Q+Q57, Hillah",2,6
22,مطعم و مشويات ابو صفاء,ChIJYSC4EtviWBURiGuuwkMzj6I,32.5095315,44.4293503,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","GC5H+RP9, Hillah",2,466
23,Roma restaurant,ChIJsayaQALjWBURldbdx6Twz0c,32.4736266,44.4251904,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCFG+F34, Jammiya street, Hillah",2,59
24,"BBQ Burger , Fresh Bar",ChIJn-ScHcvjWBURIPHhGxflLGA,32.4935885,44.4277411,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCVH+C3Q, الحلة / حي الطيارة / قرب مشهد الشمس،،, Hillah",2,30
25,University Club,ChIJFzpASv4fWRURx3ruLPo901Q,32.3933122,44.3976879,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","99VX+83G, Hillah",2,28
26,Prince Restaurant,ChIJOwfbX0ziWBURX70ikpJGZl0,32.4708567,44.4346007,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCCM+8RX, Hillah",2,8
27,Nihad Restaurant,ChIJj98wKgL9WBURRq19KL_R4QI,32.5287773,44.4363251,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","GCHP+GG4, Hillah",2,12
28,النخيل لشوي السمك,ChIJ80MH8triWBURBdoFGTLDPuc,32.5114615,44.4294314,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","GC6H+HQM, Hillah",2,40
29,كافتريا المدني,ChIJCW7lEoIfWRUR1hMBbK9mXlc,32.3915007,44.3985201,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","99RX+J4R, Hillah",2,0
30,مشويات ابو محمد(حامد واوي),ChIJ8TkMs2rpWBUR0cgjnzvczBc,32.3798062,44.55126660000001,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","9HH2+WG2, طريق حلة - ديوانية، الديوانية،،, Al Hashimiyah",2,11
31,كص ايام زمان,ChIJpawMXpzjWBUReK-JNSa70L8,32.4806545,44.4245769,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCJF+6Q9, Hillah",2,1
32,مأكولات درب الحسين,ChIJ0Tww6enjWBURo9XLkxlxido,32.4922203,44.4304631,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCRJ+V5F, Hillah",2,2
33,Al-Masguf Al-Baghdadi,ChIJTYJlkBfjWBURoqNuvuGCEwg,32.5109186,44.4394224,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","GC6Q+9Q7, Unnamed Road, Hillah",2,2
34,صاج الزبداني,ChIJQSQMKlXjWBUR1UtIRZKloRM,32.4696993,44.4103512,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FC96+R54, الجمعية، الحلة‎،،, Hillah",2,4
35,Khan Mandi Restaurant,ChIJRYt31kbiWBURwnlC18dqpPk,32.4726148,44.4234272,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","شارع الجمعية, Hillah",2,640
36,Al Shams restaurant,ChIJxXeInvniWBURtqY6ELgR6UE,32.4870383,44.4260426,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCPG+RC8, Hillah",2,746
37,Deer burger دير بركر,ChIJjdCrMWnjWBUROMewLKkBTjY,32.49157840000001,44.4334222,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCRM+J9M, Hillah",2,2
38,مطعم و كافيه دافنشي,ChIJJ48vTOPjWBURC1VLuyIyi7s,32.5020312,44.423948,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","GC2F+RHQ, Hillah",2,219
39,gogo restaurant,ChIJ930yrQfjWBUR0e2OMrV7DOk,32.4829842,44.4255575,3.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCMG+34V, Hillah",2,18
40,Food Master,ChIJ7e6b1kXiWBURuOSGmZ3tdE8,32.4737722,44.4256255,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع الجبل, Hillah",2,39
41,Shok,ChIJk60Gr6rjWBURKyYlsbtBH3Y,32.48908249999999,44.4196562,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCQ9+JVC، Unnamed Road, Hillah",2,93
42,مخلمة ابو علي,ChIJeaLrIWzjWBURFvEbEA4uuq8,32.4751783,44.4276419,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCGH+336, شارع الجبل, Hillah",2,2
43,الباشا بيتزا ولحم بعجين,ChIJIYpXovviWBUR3YoqN9PQO20,32.4919734,44.4309289,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","84, Hillah",2,229
44,مطعم جوجو,ChIJQcex4KvjWBURBKGZYLyQSEE,32.4829326,44.4253496,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCMG+34V, Hillah",2,4
45,قيمة النجف الشهيرة,ChIJFeAuCxDjWBURoKuJaPbrLTE,32.4890937,44.4329294,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCQM+J35، الحلة‎،،, Hillah",2,5
46,Nasa Restaurant مطعم ناسا,ChIJsSIqMrrjWBURjicnNmBzSyE,32.4839983,44.41945399999999,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCM9+MR9, Hillah",2,3
47,اوفردوز OverDose,ChIJ6W3WXYDjWBUR8xaweinmNyM,32.4865719,44.4259587,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCPG+J9G, 84, Hillah",2,51
48,Abo Raad,ChIJ_XKdJZzjWBUR1uaxbut-oLs,32.4745126,44.4270218,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCFG+QRX, FCFG+MQG، الحلة‎،،, Hillah",2,1
49,Farmoza & mantu,ChIJBeCOejLjWBUR6RxM_lpYks8,32.478594,44.4248807,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع 40, Al Hillah",2,0
50,لحوم ومشويات ابو علي,ChIJmeT-so7iWBUROG3rtn-4V90,32.497705,44.412731,2.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCX7+33Q, Hillah",2,7
51,مطعم سامر الزركاني,ChIJG6fXFnjjWBUR8vKV_ZqN85Y,32.4823011,44.4404387,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCJR+W5G، شارع المحكمة, Hillah",2,0
