,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Eat & Sweet,ChIJwxcRXfWZxD8R3vPfibYzvnk,30.5360373,47.8082477,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","GRP5+C79, Dinar Street, Jubaylah",2,116
1,مطعم فلامنقو,ChIJY0bxj6ifxD8R2L69URjBCjY,30.5687584,47.7800178,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","HQ9J+H2, البصرة،",2,1
2,مطبخ أريدو للأكلات الشرقية والمشاوي,ChIJ6y6gr6-ZxD8ROV_-de_1x4I,30.5105847,47.8314513,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR6J+6HF, Basrah",2,2
3,Firefly burger,ChIJSbLJuKWXxD8RDBBSBfy52kw,30.5013779,47.8324067,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR2J+HX3, Basrah",2,172
4,مطعم البراق,ChIJcT0xGreZxD8RSuCYe0tq37Q,30.5146911,47.841634,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR7R+VMC, Basrah",2,10
5,360 Restaurants,ChIJNe5iVA-ZxD8R7AQ7d-qj94U,30.5205379,47.8196543,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Basrah,2,462
6,Zarzour Restaurant,ChIJ5aACikOXxD8Rlau0KTFoIB0,30.4931944,47.8275015,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",Basrah,2,1838
7,مطعم ايلول,ChIJgfwKthmbxD8RfvKYXEDP_a4,30.5289267,47.8427386,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","GRHV+H3H, كردلان، البصرة، البصرة،, Basrah",2,142
8,Grand bbq,ChIJdaUPLF-ZxD8RQ0U3cQ_Fep4,30.5125767,47.8273296,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR7G+2WQ, Basrah",2,74
9,H21 Restaurant,ChIJY8kKODuXxD8R6GwZvMSmz9M,30.5033947,47.83651649999999,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR3P+9H5, Unnamed Rd, Basrah",2,28
10,مطعم ريحان,ChIJL16Kpl6XxD8Ri_z6b1geAlk,30.4898172,47.8258154,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","FRRG+269, Basrah",2,7
11,AlTazaj Snack Restaurant,ChIJlYzL31CXxD8Rc7cTdgO4gK4,30.5039863,47.8351981,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR3P+F6C، 14 Tamooz (14th of july) Street, Oman, front of bin Ghazwan HospitalBasrah, Basrah",2,2381
12,Lodge Restaurant,ChIJ446bouCXxD8RcrkMGK3HSn8,30.5051756,47.8395303,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","مقابل بنك الائتمان, Saadi Street, شارع السعدي، Basrah",2,19
13,Floating Restaurant,ChIJDQFvFqmQxD8R1YWXKeoNMJk,30.5118619,47.8492624,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR6X+PPR, Basrah",2,39
14,Marina Chicken,ChIJtWUFyjOXxD8RDSePV8xfow4,30.5009452,47.8331578,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR2M+C68, Basrah",2,0
15,مطعم الحسون,ChIJCVjES_2ZxD8R4mvCVVZlo28,30.5098327,47.8330829,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",Basrah,2,1769
16,Al Baghdadi Restaurant,ChIJ8dXTwfiZxD8RTdGvijK5Qeg,30.5180139,47.8412987,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR9R+6G8, Basrah",2,104
17,اسماك الأخوين,ChIJPzog3haXxD8RFFivZPisgB4,30.416846,47.7814371,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","CQ8J+PH, Abu Al-Khaseeb",2,1
18,مطعم بيت المندي,ChIJK3itHFGXxD8Rx6qOp1P6mB4,30.5033603,47.8355474,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR3P+86V, Basrah",2,581
19,مطعم نجمة عشتار,ChIJEdyaWGGRxD8Rxq6y-SgVHhU,30.5093548,47.8470352,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR5W+PRG, البصرة،،",2,13
