,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,restaurant The master of kebabs,ChIJoU3uIXLj3T8RLRB6qrfy_tw,31.0123666,46.2760611,3.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","276G+WCV, Unnamed Road, Nasiriyah",2,6
1,مطعم تراث / ذي قار,ChIJs4hGfcPj3T8R08jaCon4Q8g,31.0350172,46.23801419999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PQ+262, شارع تراث, Nasiriyah",2,0
2,مطعم الشيف مالك chef malik restaurant,ChIJs9Wg_7bj3T8Rz5aCRRwYWgU,31.03724639999999,46.2370375,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PP+VRV, Unnamed Road, Nasiriyah",2,70
3,Aghati Restaurant,ChIJef7rXsPi3T8RSkPq4kpdzwU,31.0371153,46.2368678,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PP+RPX، ناصرية/فلكة كراج، القديم, Samawah",2,639
4,Sadik Restaurant,ChIJrcos7U_j3T8RK7BEY0oeQ3o,31.05871,46.27507989999999,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","375G+F2P, Nasiriyah",2,113
5,360 restaurant fresh male,ChIJdcW2xxnj3T8RNEpTkDN_hPM,31.0510427,46.2569178,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3724+CQ7, Nasiriyah",2,0
6,لبلبي السيد,ChIJsav5FKrj3T8R0uthcFgM4OM,31.0548709,46.2676565,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3739+W3V, Nasiriyah",2,1
7,مطعم وكوفي العربي Alarabi Resturant & Loung,ChIJEdTpCoPj3T8RmUAXTF_6ejA,31.0366107,46.2357346,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PP+J7X, Unnamed Road،, Nasiriyah",2,5
8,Tokh Restaurant,ChIJUwZ5ptH83T8ROrrUCOEIjXM,31.0658396,46.255902,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Nasiriyah,2,51
9,مطعم الحاج عبد الحسين,ChIJDYbGo9fi3T8RqqIF85Ju9hU,31.0469085,46.2453161,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","26WW+Q44, Nasiriyah",2,9
10,مطعم رويال كاسل Royal Castle restaurant,ChIJ2XXCqC_j3T8RSuPXIlHCM4g,31.02238639999999,46.2543435,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","27C3+XMQ, Al-Huda street, Nasiriyah",2,192
11,Amsterdam burger,ChIJUQW1RGPj3T8RrqWQDnpXJNs,31.03724879999999,46.2370489,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PP+VRV, Nasiriyah",2,0
12,ماكولات المنار,ChIJX399mCbj3T8RS0bAh9ml8sc,31.044856,46.25176250000001,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","27V2+WPR, Nasiriyah",2,4
13,مطعم هندرين,ChIJuS2AHSTj3T8R2Ku96sivCMI,31.0445058,46.2522288,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","27V2+RV5, Nasiriyah",2,4
14,مشويات الزيتون,ChIJc08nf9Ti3T8RYN2UYYfYr1M,31.0512185,46.2426794,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","362V+F3M، شارع الزيتون, Nasiriyah",2,73
15,Alhusieny Restaurant,ChIJxUXJpybj3T8R7iWh32y_fvo,31.0443368,46.2525586,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","ألحبوبي, Al Nile St, Nasiriyah",2,385
16,Pizza firewood,ChIJY-f3eNvi3T8RL7E6Fh_y6NM,31.0391503,46.240064,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","26QR+M25, Nasiriyah",2,477
17,Laimoona Restaurant and Grills,ChIJA117D8Ti3T8R9HOYaMeknms,31.0363754,46.2334311,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PM+H97, Nasiriyah",2,414
18,مطعم سحلب أبن الناصرية,ChIJp1Asm2jj3T8RS9Zzi5Rmnpk,31.0460374,46.2538117,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","27W3+CG7, Nile St, Nasiriyah",2,3
19,مطعم وكوفي العربي,ChIJx_5rm6_j3T8RebL64XjqG6o,31.0363437,46.2351909,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PP+G38, Al Azdahar Road،, Nasiriyah",2,12
20,مطعم كباب عباطة,ChIJ4wbXI8j93T8RrK7oq_lqdYE,31.0602447,46.25414250000001,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","3763+3MR, Unnamed Road, Nasiriyah",2,3
21,مطعم التاج,ChIJTSADgT_j3T8Rj6hsyBI5UbY,31.0499557,46.2464504,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع البهو, Nasiriyah",2,237
22,ويست برغر الناصرية,ChIJeTwsGyTj3T8RZHaBe8A9Hp8,31.0418125,46.2365625,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","26RP+PJG تقاطع شارع الامام علي, Nasiriyah",2,47
23,جتر جكن - الناصرية,ChIJhYxUunTj3T8RjiviRk_HINg,31.04498349999999,46.2451723,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","26VW+W3P، شارع النهر, Nasiriyah",2,2
24,مطعم هم هم,ChIJU9HwftTi3T8RmZfMXPa73yI,31.0501522,46.2433086,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","362V+38G، شارع الزيتون, Nasiriyah",2,52
25,مطعم كباب حجي جعفر,ChIJLyFe6WXj3T8Rcq7HUIyE0GY,31.0545981,46.2456231,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","363W+R6Q, شارع الزيتون،, Nasiriyah",2,0
26,Milano Pizza,ChIJVYlsx9zi3T8RcoL8nvxIKMk,31.0369066,46.2386409,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","26PQ+QF6, Nasiriyah",2,6
