,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,مطعم الدولي,ChIJkXTJV4gH4j8RVRUeZR2G35Q,31.9838505,45.0468787,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,2,7
1,مطعم 5 مينتس,ChIJ4VVtalyvWBURcjb8qllXVT8,31.9942052,44.9045348,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWV3+MWV, Al Diwaniyah",2,1
2,Wafbusters,ChIJHzae7QWvWBUR9xiWw-kdK1c,31.9951929,44.9155699,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWW8+36H, Unnamed Road, Al Diwaniyah",2,8
3,الحچية كافيه👵🏻,ChIJL71VtFKvWBUR9VG_hkAf02M,31.99614219999999,44.8777611,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XVWH+F38، شارع الجامعة, Al Diwaniyah",2,0
4,مطعم كباب سعد,ChIJNQ95gIR14j8R7a9PWZqw2Ss,32.146837,45.0044629,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","42W3+PQP, Unnamed Road, ناحية سومر",2,14
5,طرشي بركات الامير,ChIJ8ahpcvEJ4j8R0Xen4mG4v8E,32.0429676,45.0275026,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","22VH+52, Al Diwaniyah",2,2
6,Burger Point,ChIJwZqVKwuvWBURHa14Lt_z6hk,32.002564,44.9059822,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W34+29H, شارع الكورنيش،, Al Diwaniyah",2,23
7,كافتريا ابو عباس,ChIJI2TS5GuvWBURSaTT1SFVRY4,31.993239,44.9184169,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWV9+894, Al Diwaniyah",2,5
8,مطعم اربيل,ChIJwz6vYEqpWBURINsndQB6g4Q,32.002135,44.9270577,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W2G+VRH, Al Diwaniyah",2,58
9,Sayed Hashem Food,ChIJpQ7Vz5aoWBURQjY6Dtqo_aQ,31.9880721,44.9482322,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",الچلبية الديوانية سوق ابو شماغ,2,133
10,مطعم السبطين,ChIJWZgmmL2pWBUR0zisPo-6mJ8,31.9864004,44.9319202,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWPJ+HQM, Al Diwaniyah",2,1
11,Tarik rest,ChIJZ8pU90ivWBURv8N2gD_E-XY,32.0106642,44.9093441,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W65+7P9, الديوانية،،",2,0
12,فلافل حمت,ChIJVTCJ5RKvWBURZuSY57UXS4U,31.9881866,44.9239022,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWQF+7H7, شارع المواكب, Al Diwaniyah",2,3
13,مطعم حسان السياحي,ChIJZQGXR4II4j8RulhderHyvpU,31.9990291,45.0415115,2.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","X2XR+JJ6, 1, Madain",2,578
14,Cafeteria Alchehrzad,ChIJ8y9IgjOvWBURaeqHTOtCpvM,31.9883355,44.9228968,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع المواكب, Al Diwaniyah",2,38
15,Prince cuisine fast food,ChIJ91rbT1avWBURyvD-cyJ0zSw,32.0114557,44.9188089,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W69+HGM، طريق كوت - ديوانية, Al Diwaniyah",2,58
16,مطعم نجمة الديوانية السياحي,ChIJa8YSfUEH4j8R93jJ12U87hA,31.9840115,45.046891,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,2,101
17,ابو علي جويسم,ChIJN-lVjPSvWBUREn0slftbIoE,31.9918849,44.9191454,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWR9+QM2, شارع الدغارة،, Al Diwaniyah",2,0
18,Night Food Restaurant مطعم نايت فود,ChIJsw3syQKvWBURyF7DvODSca8,32.0008302,44.9059245,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W24+89M, ام الخيل،مدينة الخيول الترفيهية، الديوانية،، الديوانية،،, Al Diwaniyah",2,9
19,مندي حضرموت اليمني,ChIJk7AQU1WvWBURT8Rgq0PFLZI,32.0078453,44.9033644,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W52+7X3, Al Diwaniyah",2,212
20,فود هاوس - food house,ChIJ18Ar9iWpWBUR-Jxvca-qYcg,31.9960585,44.9452325,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",XWWW+C38، الديوانية،,2,0
21,Jood eatery,ChIJHbPObzqvWBURUEmV7gq0DPE,31.9903707,44.9154489,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWR8+45W, Al Diwaniyah",2,310
22,مطعم قاسم السياحي,ChIJpw7jcHkJ4j8Rvtq_Aj6l51M,32.0360669,45.0303961,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","22PJ+C5, Al Diwaniyah",2,1
23,مطعم . Eat&Go,ChIJN1595ZCvWBURJxdctX91RdQ,31.9978349,44.9071936,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWX4+4VM, Al Diwaniyah",2,8
24,Seafood Chef,ChIJzQf-yEKvWBURSnuXy-RDj38,32.0084292,44.9079183,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W55+959, Al Diwaniyah",2,31
25,Two Rivers Fish,ChIJvdrklxOvWBURTi51jIhTCHA,32.0001935,44.9007999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W22+38F، شارع الجواهري, Al Diwaniyah",2,60
