,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Saman Restaurant,ChIJy-n_8OenVxURcDP_v9AyMNU,33.623948,44.414855,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","JCF7+HWH, Baghdad Street القالبيةsamanbarzani Samanbarzani, Al Jadidah",2,5
1,Eat & Go ديالى,ChIJ7zMYAnRNVhURYknhq9LpOHs,33.7478042,44.6244998,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","PJXF+4RF, Baqubah",2,25
2,مطعم ابو قاسم,ChIJb9joJvWpVxURVz2-otd95Fs,33.6808774,44.4267613,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","MCJG+9P2, Unnamed Road،, Al-Hauesh",2,8
3,Restaurant and Grill Abu Mayssam,ChIJ7TUCBBizVxURf_5K98IMRv0,33.7279224,44.59703409999999,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","PHHW+5R7, Baqubah",2,6
4,Masha allah,ChIJVwVCfZZaVhURreUklrZww20,33.9334116,44.5290547,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","WGMH+9J7, Khalis",2,28
5,شيزا كراش,ChIJkeeeJi1NVhURwxB-l5jHXX4,33.7506293,44.6207394,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","QJ2C+786, Baqubah",2,2
6,مطعم أورنج لاند orange land restaurant,ChIJeVRPChZNVhURascAgrGpODk,33.752456,44.6163438,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","QJ28+XG9, Baqubah",2,112
7,مطعم القرية,ChIJL8IQfsitVxUR7f9pc6W709o,33.7344208,44.4807266,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","PFMJ+R73, Al-Ghalibiyah",2,2
8,مطعم مشويكو,ChIJYYebx_1NVhUR4JYQR0xkAzQ,33.7517053,44.6080708,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",Baqubah,2,4
9,اكلات سريعة,ChIJDXwiDAxRVhURrlGORI04hFE,33.8542033,44.5173399,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","VG38+MWG, Khalis",2,0
10,Neon food,ChIJB1__m2NLVhURTrOZg2MTvVw,33.7414608,44.6420165,1.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","PJRR+HRJ, Unnamed Road, Baqubah",2,1
11,مشويات المهندس,ChIJ0zOD_T2nVxUR9JHyLm6FKcU,33.681768,44.4162283,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","عبارة ٢ الحويش لاشئ, Al-Hauesh",2,7
12,Food land diyala,ChIJzTawx39LVhURYNCqLNqvuLY,33.7503568,44.6400943,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","QJ2R+42X، خريسان, Baqubah",2,21
13,مستر وافل Mr.waffle,ChIJNTt7d_5NVhURvrl5haM5LgU,33.7491347,44.61648479999999,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","PJX8+JHX, شارع نهر, الحجية،, Baqubah",2,5
14,مطعم ابو علي,ChIJNRzQtHJLVhUR11T1g62D0_A,33.75237810000001,44.6442341,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","QJ2V+XM5, Baqubah",2,40
15,بيتزا هات,ChIJ7cz8BE1NVhURuQ64N5U5l_0,33.7500026,44.6247274,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","QJ2F+2W2, Al Tapoo St, Baqubah",2,27
16,فلافل ولحم بعجين السلطان,ChIJ_cqj70FNVhURrogyJ17bGqM,33.773852,44.6017054,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","QJF2+GMW، تقاطع القدس, Baqubah",2,0
17,مطعم و مشويات الامير (ع),ChIJg9qeiqWgVxUR7rG54wkwZto,33.6084431,44.40524509999999,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",JC54+94R,2,22
18,شاورما زنچلچي,ChIJz3NfRVhNVhURHIn9Ii8_oX4,33.74885,44.6237072,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","PJXF+GFP, بعقوبة الجديدة، بعقوبة،،, Baqubah",2,7
19,Al Anwar,ChIJ7UrX_5ZaVhUR_ll9NU1Dt18,33.9317576,44.52888710000001,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","WGJH+PH2, Khalis",2,37
20,Ghazal cafe,ChIJM81hyghNVhURYLqw5hRxPCY,33.7503435,44.6219183,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","QJ2C+4PQ, Baqubah",2,1
21,مطعم صفاء,ChIJnz4aM8ZbVhURUtEL8WPntCg,33.9348871,44.5290081,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",WGMH+XJ، الزور،,2,0
22,ALIEN'S BURGER - البركر الفضائي,ChIJCY7P_p5NVhURAARXjlhdAgE,33.750633,44.6207469,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع مستشفى عام بعقوبة, Baqubah",2,3
23,مطعم و اسواق القمر,ChIJw8hc2JdTVhUR-QlgEoaneHk,33.8443059,44.5223139,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","RGVC+PW7, الخالص،،",2,0
24,مطعم الامير حسن هادي,ChIJw7sjKQmnVxURN3b72h1R5e8,33.6305304,44.4184218,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",JCJ9+69G,2,113
25,مطعم واسماك العزاوي,ChIJOzbEnWdLVhURIlRqKg60Hkw,33.747243,44.6402361,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJWR+V4R, خريسان،, Baqubah",2,124
26,شاورما ابو العبد - ديالى,ChIJCbyjnrRLVhURJzXCBI3q2yQ,33.7523853,44.6256677,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","مجاور شراع مول, Taboo street, Baqubah",2,21
27,لحوم ومشويات الخالص,ChIJCcYYPqNTVhURTIesohJc0ns,33.8060255,44.5213009,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","RG49+7WQ, Khalis",2,0
28,مطعم Eats,ChIJtdGb2dtLVhURPBizGjuJFdc,33.7449946,44.636576,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Baquba St, Baqubah",2,5
29,FireFly,ChIJb00-sLRNVhURzSt6vexx4y8,33.7530017,44.6259991,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","QJ3G+695, Baqubah",2,5
30,مطاعم و استراحة عیون بغداد السیاحی,ChIJKefkKWGnVxUR75USagvsmAs,33.6415489,44.4250246,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",JCRG+J26,2,11
31,Kirkuk Restaurant,ChIJk248b6BMVhURQlpT1Z_gQ8I,33.7498391,44.62485050000001,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJXF+WWQ, Al Tapoo St, Baqubah",2,21
32,Qidah Restaurant & Cafe,ChIJ94XPM2dNVhURcrNRLEcPJzU,33.75231520000001,44.6241873,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baqubah,2,301
33,Sensitive Restaurant,ChIJM_tRwKdMVhURz4tQpaXSMzI,33.7437291,44.62417929999999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJVF+FMF, Baqubah",2,12
34,Al Khalis Restaurant,ChIJh7d3zgdRVhURklZGnTGmBBA,33.8846311,44.5106692,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","VGM6+V5F, Khalis",2,19
35,Restaurant Kahramana,ChIJVVVVVdGsVxURLJkEnRDdEyU,33.7821984,44.50780049999999,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","QGJ5+V4F, Hibhib",2,30
36,مطعم البركة,ChIJw-0cRXFbVhURE5-A3Xa2288,33.9351156,44.5290358,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",WGPH+3J، الزور،,2,0
37,الكبة البغدادية,ChIJB1R_FVZLVhURbut-CK7uYUQ,33.75861690000001,44.6367597,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","QJ5P+CMM, Baqubah",2,1
38,Ice pack Diyala,ChIJPwBTJgpLVhURg89ou1kfacw,33.7481048,44.6406106,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJXR+67W، خريسان, Baqubah",2,10
39,مطعم علي ابو الحنية ٢,ChIJ_algQclLVhUReBNuUEXOYqY,33.7501322,44.6409005,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","QJ2R+392, خريسان،, بعقوبة،",2,4
40,Ahmed Cactus Restaurant,ChIJI83Jx6lMVhUR41kdM1er8PY,33.7397061,44.6243947,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJQF+VQM, Unnamed Road, بعقوبة, Baqubah",2,46
41,مطعم وكافيه فيروز,ChIJfekrEjNLVhURoXQFtf_vzgI,33.7510823,44.6257788,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","QJ2G+C72, Baqubah",2,30
42,اسماك السيد عماد,ChIJKwJITY5LVhURP95AIweiPtI,33.7361613,44.6568173,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","PMP4+CP8, Baqubah",2,0
43,مطعم وكافيه مهدوني الفرع الثاني,ChIJnQFF5wdLVhUR8N0QYsFpoHg,33.753582,44.6392237,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","QJ3Q+CJQ، خريسان, Baqubah",2,0
44,alsufaraa bakery مخابز السفراء,ChIJsY9f23GzVxUROynLWpiGdi0,33.7464214,44.6367108,4.5,"['restaurant', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']","مقابل نقابة المعلمين، ساحة الفلاحه، شارع الاطفاء, Baqubah",2,35
45,Commission Baghdad restaurant,ChIJOTiqnEOzVxURwABY_GzKpG8,33.7246006,44.613511,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJF7+R9W, Baghdad St, Baqubah",2,140
46,مطعم خطار,ChIJ5ZzVrk9NVhURX-fE9VliRII,33.7487254,44.6251112,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baqubah,2,616
47,مطعم ومشويات قاسم ابو حمودي,ChIJ_3gp7_xVVhURjZ1tnO_KeDA,33.8631972,44.4535931,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","VF73+7CG، Unnamed Road،, Al-Zoor",2,1
48,مطعم سنتر جوهرة بعقوبة,ChIJa9Q3Wl5LVhURbJov-VmWM60,33.7477172,44.6406387,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","PJXR+37M, Baqubah",2,7
49,Pans restaurant مطعم بانز,ChIJ15NoNjtNVhURx9g1UWfONIo,33.7773166,44.5967766,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","QHGW+VPM، طريق نجف - بغداد، الكوفة, Baqubah",2,0
50,مطعم بهاء,ChIJLTBcAe9bVhURgK_D1rg-AS4,33.9334837,44.5286706,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","WGMH+CFC, Al-Zoor",2,0
51,مطعم السلام,ChIJ8egqG2u1VxURRoCWztLUoJs,33.7149943,44.6553774,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",PM74+X5R، بهرز،,2,0
