,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Kabab shalin,ChIJzXPwrEKMCEAR_ltKBXhutTw,36.8558993,42.9779487,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","VX4H+84X, Duhok",2,36
1,Ofelia Restaurant مطعم اوفيليا,ChIJCQW3exmNCEARennAf8i0rG0,36.8568205,42.9774858,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","VX4G+PXH, Unnamed Road, Duhok",2,314
2,سولتان دونەر,ChIJMSNLkoqNCEARCAc4J96tt7w,36.8673828,42.9716989,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Qazi Mohammad Road, Duhok",2,77
3,Nawroz Restaurant,ChIJS-9N3SiNCEARqFgPsB3P3cs,36.8632107,42.9884805,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","VX7Q+79Q, Rovia, Road, Duhok",2,3
4,Whiteland Restaurant,ChIJP2j6cxCNCEARQ_3zlJVR4Kk,36.8685871,42.9520315,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Duhok,2,12
5,Rania Resturant,ChIJqxXm9lGMCEARdQCJl9oWd30,36.8616493,42.9914666,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","VX6R+MG5, Duhok",2,140
6,BBQ GRILL,ChIJF8JWtg-NCEARqBDP2jSJjc4,36.8899686,43.0122639,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","V2Q6+XWJ, Duhok",2,64
7,Eat and go,ChIJR4kgTgKNCEARlzN8Oi7EMGA,36.8676287,42.9642419,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","VX97+2QJ, Qazi Mohammad Road, Duhok",2,11
8,Glass House Restaurant & Coffee,ChIJGyXEqFWLCEARKVKnNFlxaE8,36.864816,42.9110656,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","VW76+WCF، Avro City, Duhok",2,207
9,Shaleen Palace Restaurant,ChIJM61CKPKNCEARCOPt5RzKuDI,36.8611225,42.9767053,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ashty Road, Duhok",2,35
