,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Demsal restaurant (مطعم دمسال),ChIJUQWUJNkhB0ARtT2HZtPkIDc,36.2099079,44.0436644,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","625V+XF7, Peshawa Qazi, Erbil",2,56
1,LasOlas Restaurant,ChIJZQ3-P9EfB0AR7qWY4bbmH9o,36.2371627,44.005009,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","62P4+J4F, Erbil",2,9
2,مطعم وميظ Wamidth Restaurant,ChIJwVurB0IlB0AR8cqK1mz8Byc,36.1538229,44.0397514,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","523Q+JRF, Erbil",2,2
3,Jazz Restaurant,ChIJNd7-znkiB0AR0HDkiQ_SgVM,36.2088315,43.9821238,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",Erbil,2,151
4,Tablea+ Restaurant مطعم طبلية,ChIJGYUaLJkYB0AReH1vlVAZwQo,36.21860119999999,43.9876708,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","100، Naqshbandi Street, Erbil",2,910
5,Taj Restaurant ڕێستورانتی تاج,ChIJVSa5VZ8YB0ARYrkaTpBo1pM,36.2174144,43.9852098,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","6X8P+X32, Erbil",2,538
6,BIG LAND Restaurant,ChIJD5d3COMjB0ARERSfMYJ-Lzc,36.1999765,44.0222104,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","60m street, opposite Van Royal Hotel Erbil Kurdistan",2,311
7,Sarakan restaurant چێشخانەی سەرەکان / مطعم سركان,ChIJZ6jC854jB0ARfhomX1Ye7GM,36.1894511,43.9624017,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","5XQ6+QXJ, Erbil",2,23
8,چێشتخانەی حبیب / مطعم حبيب Habib Restaurant,ChIJI9jLSfYjB0ARDONXPhixYgY,36.1772279,44.0184319,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","52G9+V9V, Erbil",2,125
9,Around The World Restaurant,ChIJPy_QZFQjB0ARNsztjC-YM6M,36.1713558,44.012586,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Tablo Mall, Erbil",2,213
10,Black Tap,ChIJ-5fQSqsjB0ARkt3WQcodQ-I,36.1961523,43.9665919,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","VILLA, VITAL VILLAGE, NO: 40, Erbil",2,273
11,Hawler Restaurant,ChIJhUy9Z-MjB0ARJEqoZJzHnYo,36.1982481,44.0092242,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","52X5+7MX, شارع ثلاثين، اربيل،،, Erbil",2,0
12,Tonight Restaurant,ChIJH243emE7B0ARHSsl-rHSfdg,36.1261747,44.0459721,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",42GW+F99,2,68
13,Breeze restaurant and bar,ChIJs2_PzcMiB0AROxBGyMj0t3I,36.1873192,43.9734854,3.7,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Gulan St, Erbil",2,14
14,Fishland Restaurant,ChIJXWO9-nE7B0ARa83WJb6EM7k,36.1490426,44.0145727,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","42X7+HRW fishland-restaurant, Erbil",2,247
15,Fish basket Restaurant,ChIJzT_2J1gZB0ARqhiMBrQXZLA,36.2171409,43.984639,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","6X8M+VV2, Peshawa Qazi, Erbil",2,13
16,Laventana,ChIJMxp7RQsZB0ARtMBerA_Y6uQ,36.2121946,43.9756817,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","Peshawa Qazi, Erbil",2,765
17,India Gate Restaurant,ChIJmZhEizgfB0ARVsVi1jvsXSE,36.2295341,44.0040853,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Majdal St, Beside WOK Restaurant, Ainkawa Erbil Kurdistan",2,68
18,Muhammed media restaurant مطعم محمد ميديا,ChIJ3xsUSAIjB0ARrRilxN2dL2c,36.1707224,43.99989670000001,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Makhmur, Erbil",2,27
19,Guvenc Restaurant Erbil,ChIJ156levQZB0ARB2RnZ49Ptpc,36.2154454,43.98131679999999,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","100M Road, Opposite Erbil International Airport",2,116
20,Top Fresh Kitchen Restaurant,ChIJNyTMvLYjB0ARZi6jmgMNzTY,36.1812905,44.05948,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","دەرمانخانەی حەنان, جۆت سایدی منارە - بەرامبەر لەنگەی نوی - تەنیشت, سایدین المنارة - مقابل بالة الجديدة - بجانب صيديلية حنان, Erbil",2,24
21,KHK RESTAURANT,ChIJc-MYuL0jB0AR3QPSbyd1GbQ,36.1921759,43.9682188,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Gullan Erbil,2,20
22,Al dimashqi restaurant,ChIJraEJwg0fB0ARdfQEYEoQElg,36.2368959,43.9962504,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","6XPW+QG7, Two side, Erbil",2,11
