,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
0,Kudo Kudo Restaurant,ChIJdxU4iZdpWRURULSE72X9PcI,32.594937,44.0149661,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",الحسين، كربلاء,2,114
1,Charcoal fish,ChIJ8TcF2q1rWRUR__rjTwaVugs,32.6139519,44.0391766,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J27Q+HMF, Karbala",2,1
2,مطعم الدره,ChIJb0rskhFrWRUR4HvuqgaVsTg,32.5573671,44.04679660000001,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","H24W+WPV, Karbala",2,4
3,Rihanna Restaurant,ChIJ8VMlUdhrWRURU-Vs7nOsYOY,32.6037626,44.0219479,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Karbala,2,764
4,بارلي كربلاء Barley Burger&Steak karbala,ChIJK5dncoBpWRURHdaWHiSg6qQ,32.6003473,44.0181577,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","hay, Karbala",2,233
5,Turkish Saj alreef resturant,ChIJifQd2dlrWRURuEOrTnVZoYo,32.601565,44.0229633,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","J22F+J5G, Karbala",2,289
6,السندويش السوري,ChIJCY4E8tdpWRURj9iSRQFVziM,32.6001775,44.0145005,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",الحسين، كربلاء، Karbala' 56001,2,8
7,مطعم الشكرجي,ChIJy7vlHsZpWRUR5F0ogIgRNxk,32.59978150000001,44.0107972,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Karbala,2,36
8,مطعم جار القمر,ChIJ_xVle4AVWRURHrsFTP82nBQ,32.584555,44.1087596,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","H4M5+RG, Karbala",2,22
9,كافيتريا ارض الطيب,ChIJ268A4mttWRURfKmk5LgkjLw,32.6235182,44.0424678,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2FR+CX4, Karbala - Baghdad Rd, Karbala",2,7
10,فايف تويلف للوجبات السريعة,ChIJ3WRkGedpWRURPczKbvpz468,32.636503,43.9927746,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",الخدمي، Karbala' 56001,2,10
11,Bizza Bizza & Chixi & green zone Restaurant,ChIJq-akO_5pWRURoL0a8I3m1dw,32.5937771,44.0193836,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2V9+GQ6، شارع حي الحسين, Karbala",2,1
12,Ammash Sons Restaurant,ChIJ9Zd4zlhpWRURcFXHHL-Oj34,32.636707,43.9909922,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","JXPR+MCC, Karbala",2,0
13,Robo Chef Restaurant,ChIJ9RKq8qNpWRUR9P0i4y3UayI,32.5965603,44.0141423,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2W7+JJ2, Karbala",2,212
14,ماكولات الرحاب,ChIJa6nQSkNrWRURQ3bhkPol6C8,32.6173311,44.0372882,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28P+WWF, Karbala",2,0
15,کراچی فوڈز Karachi Foods,ChIJN0bCWqxrWRURMd--KebS7eo,32.6177934,44.031955,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","J29J+3MP, Karbala",2,2
16,Pyramid Restaurant,ChIJ_fdeKdttWRURZahwsRN3jVQ,32.6217642,44.0437596,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2CV+PG2, Karbala",2,1
17,فلافل ابوعباس,ChIJG3vECWxpWRUR4x52f8bbI-w,32.6141735,44.0184891,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J279+MC4, Karbala",2,2
18,مرطبات السدره,ChIJ4b9JF71rWRURh10S5KcV0NI,32.6176013,44.032872,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J29M+24X, ‫شارع صاحب الزمان،, Karbala",2,0
19,مأكولات ومثلجات الروشة,ChIJ0TsgahFrWRURW1j5_8TgvA4,32.6173851,44.0340775,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28M+VJR، ‫شارع صاحب الزمان, Karbala",2,24
20,مطعم بيت المندي,ChIJ3-6nSttpWRUR_W8TkFGO2Zw,32.6084318,44.0114311,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","J256+9HG, Karbala",2,19
21,كناري للاكلات السريعة,ChIJG3WsLTRqWRUR7JpwzzqY-2w,32.5822951,44.0363807,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2JP+WH6, Karbala",2,8
22,مطعم الحسين العائلي,ChIJJc6xnStpWRURj518cTPLRVQ,32.6013128,44.0140829,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",الحسين، كربلاء،,2,115
23,Ishtar restaurant,ChIJ_1Ps-6NpWRURJsJjSYFDAuA,32.5961187,44.0175835,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","حي الحسين كربلاء, المركز",2,564
24,مطعم كباب ابو علي,ChIJM0kLWQBtWRURKOlvX2rll6s,32.6215269,44.0429439,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2CV+J58, Maitham al-Tamar St, Karbala",2,94
25,مطعم توب شيف كربلاء/ Top Chef Karbala restaurant,ChIJFyTI-8dpWRUR0px_9OBZiqQ,32.62544889999999,43.9866881,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","JXGP+5MM, Karbala",2,3
26,مطعم اللهيبي,ChIJP44qFwNpWRUR2oNZifgL8ac,32.6278159,43.9948152,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","JXHV+3XR, Karbala",2,0
27,اسماك البركة,ChIJ65rNgrFtWRURqUtu7sXK3Y0,32.6361551,44.0450069,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",9,2,1
28,مطعم دياي امي mama’s chicken restaurant,ChIJGarYekBrWRURYcPAYts2hto,32.594832,44.02252319999999,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2VF+W2C, Karbala",2,69
29,مطعم اصل القيمة,ChIJRfOooWZrWRURrKjW8qw2KgU,32.5863125,44.0389375,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2PQ+GH8, Karbala",2,1
30,عمو شاورما,ChIJr_KtitppWRURCEQGUjdXZGs,32.6136794,44.0197113,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","J279+FV8, Karbala",2,7
31,گوست برگر كربلاء Ghost burger,ChIJ-6Qfr8FpWRURTBDXrgSISXI,32.5955106,44.0151656,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","القاعة الرياضية المغلقة, Karbala",2,144
