,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,چێشتخانەی ماڵی باوکم mali bawkm restaurant,ChIJjVZ_LjvVVBURL51tpQWjIDY,35.4879368,44.3845645,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","F9QM+5RG, 2, Kirkuk",2,91
1,Full House restaurant,ChIJ8yZjKbDXVBUR3056Y7YfRw0,35.478137,44.3829854,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shari Almas, Kirkuk",2,19
2,ڕێستۆرانتی شەوانی شارەکەم,ChIJX6MgAx4pVRURy02jAgJPuTU,35.4370195,44.4212329,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","CCPC+QGJ, Unnamed Road, Kirkuk",2,5
3,Rayan Resturant,ChIJv-Mm-OwpVRUR6gO9_C7j30g,35.449378,44.4164093,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","CCX8+QGV, Kirkuk",2,0
4,مطعم فريدون,ChIJVS9lMTfXVBURaSWEEdIdDn4,35.4782516,44.3831553,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","F9HM+872, Shari Almas, Kirkuk",2,124
5,Azadi cafe and restaurant,ChIJ_XP6-SEpVRURobSCQRf7tZU,35.4686304,44.411788,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","FC96+CMM, Sulaimani - Kirkuk Rd, Kirkuk",2,5
6,Tasty Fast food,ChIJL4MD7e4pVRURvvL9Ipn6bmk,35.4725933,44.4025905,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCF3+22Q, Kirkuk",2,170
7,کەبابی ئەبو شەهاب,ChIJFbQcUyMrVRUR0cxsLCXvCz4,35.48082040000001,44.411753,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","FCJ6+8P2، بازاری ئازادی, Kirkuk",2,5
8,big mama,ChIJgcQrrM7VVBURCHCIObLUboQ,35.5235666,44.383048,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","shoraw kirkuk 35.523566, 44.383045",2,19
9,Chicker’s,ChIJy48vKIbXVBURtPcN_lS2A8E,35.4582222,44.3816535,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","F95J+7MJ, عمارة خليل أغا،, Baghdad Rd, Kirkuk",2,36
10,Mali daikm restaurant,ChIJ_fXSgMQrVRURJAZZI2Bf3Cs,35.5079468,44.4017588,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","GC52+7F, Kirkuk",2,4
11,ماكولات ابوشهاب,ChIJQ-Ex-dfXVBURNqznPRYbMUw,35.4666329,44.3798895,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Kirkuk,2,1
12,مطعم MC SMOKED,ChIJI35H2F7ZVBURnoa03Lemx6I,35.4086793,44.3621223,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","مقابل محلج القطن, Kirkuk",2,11
13,Happy days restaurant and cafe,ChIJaVHzANHXVBUR6uQZgd1Z09g,35.4563324,44.3783374,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","F94H+FGR, كركوك،،, Kirkuk",2,5
14,مطعم جودي -Judy restaurant,ChIJ061HjHjXVBURILnTvjmoEc4,35.4637459,44.378166,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","F97H+F7V, Unnamed Road, Kirkuk",2,16
15,Special fastfood,ChIJfbiiRqzXVBURpF52QW9Mq9s,35.4769528,44.3795959,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","F9GH+QRQ, Shari Almas, Kirkuk",2,2
16,ماكولات كرايب,ChIJoW1R4XrXVBURHWCN0ArgYYM,35.4104308,44.389511,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","C96Q+5R6, Kirkuk",2,9
17,Flafilo,ChIJSSdy-qQpVRURP-icJbVqESo,35.4593585,44.4100902,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","FC56+P2W, Sulaimani - Kirkuk Rd, Kirkuk",2,11
18,Abdullah Restaurant,ChIJM_9b1AfWVBURAVE1QvOJyQA,35.4766771,44.3900261,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","F9GR+M2C, Komari St, Kirkuk",2,652
19,CARBO RESTAURANT,ChIJ1_S-_rPXVBURHebclyOesfU,35.4397179,44.377418,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","C9QG+WX4, Kirkuk",2,20
20,مطعم وريا,ChIJ3YC5fkbZVBURp5BPtSezNhs,35.4138476,44.36494810000001,2.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","C977+GXV, Baghdad Rd, Kirkuk",2,3
21,چێشتخانەی براکەم-مطعم اخي,ChIJkWVcTb3XVBURfGdGBhzxo1w,35.4742565,44.3902945,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","F9FR+H5W, Kirkuk",2,0
22,کولێرە بەقیمەی پۆڵا,ChIJ5zlL0CwpVRURwtXdFgfRCI0,35.4404152,44.4261899,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","CCRG+5FG, Road",2,1
23,خواردەمەنی کاکە حەمە,ChIJf1SpJpgpVRURLUHkmYNPdus,35.4390861,44.4133621,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","CCQ7+MGF, الحرية، كركوك،،, Kirkuk",2,0
24,مطعم كباب وستاعزيز,ChIJLQE6kSUpVRURPcUmC0SuUxE,35.4725073,44.4027774,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCF3+242, Kirkuk",2,50
25,مطعم ومشويات فلامنكو,ChIJTSGj2kLVVBUROhIUYsZN7wc,35.4826595,44.3868417,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","F9MP+2MH, Kirkuk",2,1
26,مەتعەم ایوب,ChIJjRD09fTXVBURYdLtYy52x7M,35.4666329,44.3798895,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","F98H+MX2, Kirkuk",2,0
27,مأكولات شاد,ChIJySpPaknVVBURjJa6PNhnCO4,35.5155584,44.3971922,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","G98W+5PC, Kirkuk",2,1
28,مطعم فاخر,ChIJl6EluNnXVBUR1VmhwduEEWA,35.4778062,44.3822311,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","F9HJ+4W2, Kirkuk",2,218
29,FireFly Burger Kirkuk,ChIJa92niJjXVBURj3cLu0xJdXU,35.4449431,44.3759486,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","C9VG+X9X, Kirkuk",2,98
30,خواردەمەنی هاوبەش,ChIJT0gtk5UrVRURaEWaZt_vKpg,35.4807822,44.4117621,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FCJ6+8P6, بازاری ئازادی،, كركوك،",2,0
31,ماكولات دامبي واورهان,ChIJ8wAUMZDXVBURSTj_9HjUn44,35.4855805,44.3706926,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","F9PC+774, Kirkuk",2,2
