,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,كباب عبد النور,ChIJBX0HIce54z8RskdlcOUJ7UM,32.4982315,45.827646,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FRXH+74R, عمارة ابو فواتي، شارع المحافظة، Al, Kut",2,0
1,مندي الخاجية,ChIJW6F6tlS54z8ReXenh9dd1vA,32.5380672,45.8020143,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","GRQ2+7R2, Kut",2,2
2,كباب و مشويات الاحمد,ChIJ37qGX3y54z8RJuH1ZnejG6E,32.5326629,45.8238137,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","GRMF+3G8، شارع 15, Kut",2,4
3,مطعم ومشويات ياس الكببجي واولادة,ChIJA8iIZyK54z8RctdbAWJvu0E,32.5065684,45.8272925,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR4G+GWW, Kut",2,1
4,Fayyad Restaurant,ChIJD92dSa244z8RSYD6cWBcNyE,32.4982253,45.8276468,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FRXH+73R، شارع المقاهي, Kut",2,43
5,food house,ChIJ6xjZI8654z8RmHV20wKqgOE,32.5073988,45.8174356,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR48+XX3, Kut",2,1
6,MDOC Mess Hall,ChIJ63hO4gGz4z8R109gi3P-rxI,32.5122679,45.66086139999999,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","GM66+J59, Kut",2,0
7,مطعم وكافيه ليفانت,ChIJveLfg8O54z8ROrr8UjTUzns,32.5111169,45.8099697,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR66+F26, Kut",2,82
8,Hatabgy حطبچي للاكلات السريعة,ChIJO9I4Pom54z8RUGdMRuccjEE,32.5119066,45.810797,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","GR66+Q87, Al Kut",2,4
9,مطعم فتوش / الكوت,ChIJL5YcVwC54z8RbtbVMzZZEjs,32.5300663,45.7866312,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","GQJP+2MC, Kut",2,10
10,مطعم كباب الحاج اسكندر,ChIJ46idV6u44z8RbUS5x5npxeQ,32.4944029,45.8276993,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","FRVH+Q3H, Kut",2,61
11,مشويات سعودي,ChIJ_0taUuy54z8RwWBfEvakogA,32.4968685,45.8236508,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","FRWF+PFG, Kut",2,2
12,Ovens and pastries Zahra (AS),ChIJt40KzHK54z8RqQaVk15_7z4,32.5318662,45.7979624,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","GQJX+P5W, Kut",2,9
13,Cafeteria Alchloba,ChIJbWlxFq244z8ROjtelGAfQX8,32.4973943,45.8267289,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","FRWG+XM5, Kut",2,7
