,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,MR,ChIJO1NTzk_r5z8Rf8P4X4z1Zkk,31.83790119999999,47.1420675,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",baghdad st amara south,2,0
1,مطعم ومأكولات نينوى,ChIJvWNJMPLr5z8RkPzZaX3ceJU,31.8295587,47.1544666,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Awasha, Dawriat Street, Amarah",2,5
2,دجاج سيد علاء,ChIJqY4eTv-_5z8Rk36dxk6rqdY,31.8821208,47.1215629,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",طريق الطيب,2,1
3,Hot Dish Fast Food - الطبق الساخن للأكلات السريعة,ChIJF0TqOj3r5z8RqPPIofkm0to,31.8467188,47.1347215,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4WM+MVQ, Amarah",2,246
4,Green Land Restaurant,ChIJ2ZLnZzmV5z8RcreHeJQePvs,31.8426944,47.1261103,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4VG+3CH, Amarah",2,0
5,مطعم المذاق للاكلات السريعة,ChIJmzxi39jq5z8RfNEq5jnOyTc,31.8442251,47.1498705,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4VX+MWW, Amarah",2,253
6,Al-Tayyib Restaurant,ChIJlbQxmSuV5z8RmBa7b5d3Hwc,31.8487705,47.1347067,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4XM+GX7, Amarah",2,3
7,Eat & go Maysan,ChIJ-8wjXvDr5z8R8CFYVBMbKBY,31.8336306,47.1523902,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5M2+FX2, Unnamed Road, Amarah",2,25
8,رويال للوجبات السريعة royal fast food,ChIJs2Vp5Hjr5z8RQ5yUkzHhAyQ,31.8377555,47.1662134,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5Q8+4F4, Amarah",2,28
9,مطعم المصطفى,ChIJnwWpNSa_5z8RjsKMxCSaX84,31.8821856,47.1216076,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","V4JC+VJH, Amarah",2,2
10,Mama’s Chicken Maysan,ChIJOYtutYDr5z8R6gCunoHifA8,31.8278778,47.1505141,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5H2+562, جسر عواشه،, Amarah",2,117
11,مشويات دجلة,ChIJT7tY0ibr5z8Rkbr0aib7RBI,31.838103,47.1496285,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4QX+6VR, Amarah",2,0
12,فلافل حسين النظيف,ChIJmRqljurr5z8RO1_-DGZZ8Nc,31.8687242,47.1484824,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","V49X+F9X, Unnamed Road, Amarah",2,55
13,بيتزا و مقبلات السيد,ChIJ1YnyBfPr5z8Rq_641ShUw6s,31.8371952,47.1553919,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5P4+V4H, Amarah",2,2
14,أفران صمون الكفيل,ChIJ9YWvotLr5z8RzzxdUDfSZtA,31.8252522,47.1373583,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4GP+4W5, Unnamed Road،, Amarah",2,9
15,بركر الدب,ChIJ7fUjgfDr5z8RHSiLGa9QBVg,31.8326071,47.1379235,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4MQ+25V, حي",2,0
16,مطعم أسماك الدكتور,ChIJMSJbkHTr5z8RDsvZfUaEZlQ,31.83421929999999,47.1471716,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4MW+MVV، شارع كورنيش, Amarah",2,1
17,Food Yum Yum Barker,ChIJ7SZZcq_q5z8Rx_GnZKTpOG8,31.8704661,47.14532879999999,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","V4CW+54G, Amarah",2,187
18,Fish bakery الهولوكوست مال السمج,ChIJ_SIqCPfr5z8RxY2-NX0Ikhs,31.8279641,47.15420690000001,4.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","R5H3+5MJ, Unnamed Road, Amarah",2,1
19,مندي صنعاء اليمن والقيمة النجفية,ChIJvcMICKbr5z8R94gBJZ23YUs,31.82696079999999,47.155399,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5G4+Q6Q, Amarah",2,6
20,Restaurant and Cafe Sawa,ChIJe-6-4D3r5z8RkOhC9tovflU,31.8301972,47.1545531,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5J3+3RF، شارع الدوريات, Amarah",2,14
21,Bar-Bar Restaurant,ChIJg0KL_SPr5z8R1HBXz_NCOyk,31.83788139999999,47.1512164,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5Q2+4FH, Amarah",2,452
22,FM restaurant,ChIJlek7skuV5z8RXpxRywW7muo,31.843023,47.14905090000001,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",R4VX+7J4، R4VX+5FC,2,506
23,باجة ممتازة - مويش الباچه چي,ChIJrVZjw2br5z8RVgwZVT97vQs,31.848996,47.1542824,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5X3+JG3, Amarah",2,1
24,كباب الكوثر,ChIJv0H_GBbr5z8RlOepm9rGvwU,31.8316947,47.1561108,2.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5J4+MFC, Amarah",2,5
25,فلافل امير عماره 2,ChIJdTleXRnr5z8R-_yS1SHj2BM,31.8344658,47.1698871,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5M9+QWX, Amarah",2,6
26,مطعم ابو القاسم,ChIJc3SmACeV5z8R98ezWZNHCGM,31.8502486,47.13484889999999,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","V42M+RVC, العمارة / قطاع ٣٠ / بداية، شارع المدارس، العمارة،،, ميسان،",2,129
27,فالح ابو العمبه,ChIJ4duEyXbr5z8RRHFcvb2aJyM,31.8384796,47.1510195,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","نقابات العمال, شارع أتحاد, Amarah",2,1
28,Pizza Center,ChIJ4xg2OD7r5z8RwOpm5bALWzM,31.82832599999999,47.15455290000001,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5H3+8RM، شارع الدوريات, Amarah",2,17
29,Al-Turath,ChIJ8dkQ2Cnr5z8RfY-TNHze6Oo,31.8371677,47.1498179,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4PX+VV8، شارع الروضة، العمارة،, Amarah",2,0
30,Prince Restaurant,ChIJzU3eDiCV5z8RP_RqevzEz-w,31.8288644,47.1174764,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4H8+GXX, Amarah",2,35
31,"Abu Ahmed, a kebab restaurant",ChIJT5yInhnr5z8RcRjrBLfp5i4,31.8388757,47.1611611,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","R5Q6+GFV، Unnamed Road، Amarah,, Amarah",2,76
32,Jalal Restaurant,ChIJhc9MQynr5z8RKJDKxKTLnTA,31.8347983,47.1416534,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","R4MR+WMJ, Amarah",2,499
