,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,مطعم لفي - laffe restaurant,ChIJZ9XGzPCVB0ARTgdlsAEf27k,36.3585537,43.145279,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,216
1,مطعم المصطفى,ChIJWQijBwK_B0ARNpailPbZ-6g,36.398843,43.1875371,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95XQ+G2V, Al-Qahirah, Mosul",2,1
2,AT,ChIJn0IdCsfrB0ARJebu7GFJshw,36.3735103,43.110364,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","94F6+C44, Unnamed Road, Mosul",2,5
3,مطعم دلال,ChIJd_cLKIKVB0AR_ulATWLut28,36.34307890000001,43.125065,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","84VG+62P, Mosul",2,54
4,Golder Grill,ChIJ0SE7aZuVB0ARlBnA_t4xtM8,36.3566662,43.164072,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9547+MJ8, Mosul",2,0
5,MEAT IN FIRE,ChIJS8gUlyyVB0ARCfrlBFwyQjQ,36.3404919,43.1571043,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","85R4+5QM, Mosul",2,16
6,لحم بعجين النور.,ChIJoY0t0XG9B0ARvwlWcyDQMfA,36.3500794,43.3664203,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",9928+2HM,2,19
7,Buddies Rest | بديز بركر,ChIJefvoDh3rB0AR5sczYR6Z9O0,36.3823478,43.1320251,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","94JJ+XRV, Mosul",2,139
8,Tonight Restaurant,ChIJISGC4U_rB0ART6SoshRrKVk,36.3705285,43.082291,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","93CJ+6W7, شارع العام, Mosul",2,2
9,همبركر حمودي,ChIJA17kXv6VB0ARuA9iKrrF45U,36.3657146,43.1909563,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","958R+7C5, Mosul",2,0
10,Black Ketchen,ChIJ_4k0zO2VB0ARPz2pCRMjkDw,36.3547462,43.1148146,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","9437+WW2, Unnamed Road, Mosul",2,3
11,مأكولات النجم,ChIJKzNmJuaXB0ARYHoLZzZ8BWA,36.3459152,43.24902609999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","86WX+CGX، الموصل،،, Mosul",2,0
12,باجة الميدان,ChIJNSXct8CVB0ARDgHmX7kBXB0,36.344683,43.1356515,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",Nineveh Mosul Alzhoor,2,9
13,محطة الشاورما,ChIJT0FOis2_B0ARK_kxUomyvK8,36.3856742,43.1810133,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95PJ+7C6, Unnamed Road،, Mosul",2,0
14,مطعم القدس,ChIJQW3aWBzFB0ARjJs4J6taCIY,36.4874812,43.119251,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","F4Q9+2Q2, Tall Kayf",2,1
15,شيف علي,ChIJo_bR-hmVB0ARhQKSUGCIUUk,36.3671007,43.1910247,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","958R+RCR, Mosul",2,6
16,باجة ابن أتى,ChIJU_k7LUeVB0ARibnLzJ0l3dg,36.3437406,43.1317812,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","84VJ+FPV, شارع النبي جرجيس، الموصل،، الموصل،،, الموصل،",2,2
17,Kudu kudu,ChIJB63gM4OVB0ARlB0BQG0i-2s,36.3819764,43.1841693,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95JM+RM4, عمارة اسياسيل، الموصل،،, Mosul",2,2
18,مطعم مستر زنكر,ChIJ56oJHaXrB0AR44r11OXu0l8,36.3589026,43.0946505,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","935V+HVG, Mosul",2,43
19,مطعم أسماك هادي,ChIJPzb7qv2VB0ARXK3rSsGnW0A,36.37904,43.18130920000001,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","95HJ+JG8, Unnamed Road،, Mosul",2,5
20,Al Salam Restaurant,ChIJIyfrVnq5B0ARQ3gby4D0UCA,36.4517074,43.3420418,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",بعشيقة و بحزاني، Musil Iraq,2,1
21,S,ChIJFRtN5ziXB0AR35WiqnY6F1Y,36.3273847,43.1998239,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,0
22,مطعم كُشري,ChIJ_63B5o7rB0AREhaj2Smg_HE,36.38104939999999,43.13339879999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","94JM+C97, مدخل, Mosul",2,0
23,مطعم الشيف زكريا,ChIJgZnL3V2VB0AREsF_3Ilhu_Q,36.3591386,43.1029592,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","9453+J54, Mosul",2,16
24,Daqoq Fish,ChIJg_a7mkeVB0AR2ZwHWPXJo30,36.3822643,43.1556056,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95J4+W69, 2, Mosul",2,2
25,مطعم الرحمن,ChIJdQaMJZ-VB0ARTgcdKORMFy8,36.3465552,43.18626099999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","85WP+JGC, Mosul",2,0
26,كرة و بورك ام الربيعين,ChIJvxmcY9aVB0AR2SvIHgF1TW8,36.3650206,43.1858118,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","958P+283, مدخل سايدين حي النور ،, Mosul",2,0
27,مشويات ابو علي,ChIJ80ISHdWVB0AR1ujZLH4tvKA,36.3465638,43.1847705,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","85WM+JXC, Mosul",2,0
28,مطعم ابو حسين للوجبات السريعة,ChIJjyyfpUuXB0ARqqewLdb6LA8,36.34563199999999,43.2493405,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","86WX+7PM, Mosul",2,0
29,مطعم ام الربيعين,ChIJcbOaDVaVB0ARwkcAL9-4HRQ,36.3484101,43.1564602,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","85X4+9H5, Mosul",2,23
30,Rizzo for fast food,ChIJFyZEKDmVB0ARbm9Req-aR6s,36.3545838,43.1597562,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","9535+RWJ, شارع, Mosul",2,2
31,Cave Restaurant,ChIJCVsC1f6VB0ARQaPyMb5pXQk,36.3334127,43.1383499,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","84MQ+98, Mosul",2,0
32,Tasty chicken Restaurant,ChIJ06Ju7-GVB0ARZaQwBMz9lgs,36.3673429,43.1881631,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","958Q+W7M، Unnamed Road، الموصل،, Mosul",2,27
33,مأكولات الغنام,ChIJSSSz0RyVB0AR0pWp9snFiy4,36.36045310000001,43.0995383,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","936X+5V6, Unnamed Road, Mosul",2,4
34,بركر دوز burger dose,ChIJwU2eLiSVB0ARs7eL8BI32Mc,36.3735807,43.1458496,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","94FW+FHW, Mosul",2,85
35,مشويات القيصر,ChIJ3yQ6oj_rB0ARfmsGqpahitk,36.4072868,43.1150597,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","C448+W2M, Mosul",2,0
36,Khattar Restaurant,ChIJTZ_7aGiUB0ARjaWNXsPrp7I,36.3411177,43.1546611,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,1643
37,حمص ابو لؤي الشهير,ChIJaeiVK1yVB0AR0IZiYY0o86A,36.3705887,43.1813778,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95CJ+6HJ, Unnamed Road, Mosul",2,0
38,دكان شاورما,ChIJxWlg8daVB0ARw_ST4-cq0aA,36.3489278,43.157736,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","85X5+H3H, Mosul",2,4
39,مطعم ليمونة,ChIJszaisYSVB0ARnNvJWYix1_c,36.3555867,43.0976096,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","934X+62Q, Unnamed Road, Mosul",2,6
40,Pasta Resturant & Hall,ChIJ9aAZEcefB0ARXGu4Ttl45QA,36.2707595,43.3713531,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","79CC+8G5, Bakhdida",2,97
41,لحم بعجين ياسر,ChIJuRMYsSKVB0ARK4m1Lc64ysE,36.3383781,43.1375264,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","84QQ+922, بناية البنك المركزي العراقي - فرع الموصل، شارع حلب،, Mosul",2,1
42,كاهي مكة المكرمة,ChIJdfijes2VB0ARh5KDisqsK8U,36.3335424,43.1379725,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","84MQ+96J, شارع الدواسة،, Mosul",2,16
43,مطعم مشويات فضل الرحمن,ChIJibJWktCVB0ARCuzacq30CLU,36.3500253,43.1600195,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9526+227, شارع, Mosul",2,2
44,Gondola Restaurant,ChIJCTr6W7WVB0ARCZRp9rTCqQg,36.373177,43.1682155,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","95F9+77G, Mosul",2,113
45,Om kalthoum restaurant,ChIJq4o3R8OVB0ARcPVJHTFP1R4,36.3546712,43.1314039,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","943J+VH4, جسر ابي تمام،, Mosul",2,3
46,مطعم دكان شاورما,ChIJa8kwLkKVB0ARj28lY6kSr5s,36.3697125,43.1391719,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","949Q+VMM, Mosul",2,5
47,مطعم ستوري,ChIJC71OISCVB0ARSraIUo7K6fs,36.3543139,43.156331,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9534+PG, Mosul",2,0
48,فرع المطاعم والمقاهي,ChIJa3T3AOqVB0ARiJzLrjHezw4,36.3501591,43.1597876,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9525+3W6, حي النعمانية،, Mosul",2,2
49,Abo Jana Restaurant مطعم ابوجنه,ChIJWbAjIRWTB0ARNyb6KS46u8w,36.330232,43.0967807,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","83JW+3PR, Unnamed Road, Mosul",2,30
50,مشويات الاسماك,ChIJs0zzgWKVB0ARkowAsp9Vtns,36.3526112,43.1683697,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9539+28X, Mosul",2,2
51,Afandi's Restaurant,ChIJzYD5iFDrB0ARqMiEsASluwo,36.3898483,43.146332,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","94QW+WGF, Mosul",2,2
52,مأكولات رائد الشيخ,ChIJB8WNgvuTB0ARx7daxkZBvaw,36.3284981,43.0884083,2.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","83HQ+894, Mosul",2,3
53,مطعم السور _alsoor restaurant,ChIJkS5g3qeVB0AR4_fy6V2Wgb8,36.3678125,43.1410625,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,49
54,شجاع السماك,ChIJzeatIpXrB0ARRBJ3Xc5iYVg,36.4041864,43.1139551,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","C437+MHF, موصل حي العربي الشارع العام مجاور معمل البان الموصل،, Mosul",2,1
55,طرشي ام الربعين,ChIJ9yBG4w-VB0ARdAVotU7L3nc,36.3340315,43.13643889999999,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","84MP+HQV, شارع الدواسة، الموصل،،،, Mosul",2,5
56,مطعم ماشاء الله,ChIJ70-65qTrB0ARfPL_ixoSoKo,36.36285720000001,43.0962253,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","937W+4FW, Unnamed Road، الموصل،،, Mosul",2,7
57,Al Salam Restaurant,ChIJkcWIbSq4B0ARvBldrq3ZFr8,36.4529151,43.3475098,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","F83X+52J، بعشيقة و بحزاني،, Ba'ashiqah and Bahzani",2,51
58,Tomato Food,ChIJaX_AxC-VB0AReUyg4NUdtrQ,36.3748505,43.141887,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","94FR+WQR, Mosul",2,250
59,هاتاي شاورما,ChIJ16D1-w2VB0ARI1PsN24ybNs,36.3369694,43.1627739,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","85P7+Q4J, تقاطع, الجسر الرابع، Mosul",2,13
60,Al Nakhil,ChIJXx7-6jGVB0AR0ecpxfbDHec,36.3766292,43.1412479,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","94GR+MG2 المجموعه, Mosul",2,1140
61,مطعم بيت الطين,ChIJp-BZfsmVB0ARMbbpqeuTCus,36.3821836,43.1682125,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","95J9+V7G، العراق موصل حي السكر مجاور من مسبح، الموصل،, Mosul",2,802
62,Al Mahmoud Restaurant,ChIJXQPJK83qB0AR4DnXiGB3-LM,36.380082,43.13629299999999,3.9,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","موصل / المجموعة الثقافية, Mosul",2,558
63,Bait Jidi Restaurant,ChIJqzu_75mVB0ARi0vos6wHYeY,36.3641671,43.1957849,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","957W+M87, Mosul",2,992
64,مطعم النجوم السياحي,ChIJF5OpxjGVB0ARc24jRanzoSI,36.3671333,43.1898837,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,303
65,مطعم ميدتاون,ChIJ508JAb-VB0AR9tfa4fTEH_w,36.3834886,43.1692733,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",السكر، قرب التقاطع الموصل حي,2,555
66,Abbasi restaurant,ChIJFR4LfdaTB0ARAnada3MPB9U,36.3350095,43.0957045,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","83PW+274، موصل الجديدة، الموصل،, Mosul",2,154
67,مطعم ومشويات المذاق السياحي,ChIJySaRkJ-VB0ARGGgRHZSaArc,36.368018,43.174442,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","959F+6Q4, 2, Mosul",2,751
68,مطعم طماطة,ChIJSQxBvCeVB0ARd6Igzx8Eys0,36.3689161,43.1841383,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",959M+HMC، مدخل شارع، المشراك,2,173
69,Restaurant and Grill Younes Al-Omar,ChIJL9_ff56VB0ARoqF661O7Gu4,36.3674626,43.1897525,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","958Q+XWJ, Mosul",2,867
70,Maazoom Restaurant,ChIJkzK9u4iVB0ARnMV09LwWi_w,36.355105,43.0882535,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","934Q+27Q, 1, Mosul",2,11
71,Al-Hatab Resturant,ChIJbyDU_v-VB0ARDgjoDS3ZWHE,36.3390092,43.1595103,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,1090
72,مطعم الذهبي,ChIJJTXyNQmVB0ARie5DcyLtZ50,36.3466287,43.2007316,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","86W2+M75، صناعة الكرامة،, Mosul",2,33
73,Restaurant Alnafora,ChIJV6NNf1mUB0AR8cr4KGkwgcY,36.3486308,43.1568198,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","85X4+FP4, Mosul",2,526
74,Alqarib Resturant,ChIJu9fcxKOTB0AR61u3Vayhvhw,36.3298678,43.1382801,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","84HQ+W8V، دواسه, Mosul",2,262
75,مطعم حيدوري,ChIJl2A4APOVB0ARTJJSSJE5OLU,36.3580241,43.148331,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","945X+684, Mosul",2,36
76,Shifa Restaurant,ChIJad8JkXWVB0ARMsX-Kbgw4YQ,36.3682705,43.1855818,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","959P+864, Mosul",2,97
77,مطعم الكرم والفارس,ChIJj0u2oCGVB0AReU8i74hzPY4,36.3787889,43.1816469,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","95HJ+GM6، Unnamed Road، الموصل،, Mosul",2,501
78,Khattar Restaurant,ChIJTZ_7aGiUB0ARjaWNXsPrp7I,36.3411177,43.1546611,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,1643
79,Saydaty Al-Jamila Restaurant,ChIJo9NA6HGVB0AR_lPMxH-qSWI,36.3731717,43.1794479,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,1933
80,مطعم خالد ابو الكص,ChIJnSeL1_GTB0ARLH5hcv2sjIY,36.3304316,43.1406356,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","84JR+57M, Mosul",2,86
81,مطعم حاجي الشهير,ChIJa_BWzUGVB0ARAuoTTruXnjQ,36.3789102,43.1886341,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","95HQ+HF6, Mosul",2,11
82,مطعم ومشويات الخير,ChIJzeiQJV6VB0ARxGKmfvl9b6A,36.3774474,43.13982439999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","94GQ+XWQ, Unnamed Road, Mosul",2,0
83,مطعم دلال,ChIJd_cLKIKVB0AR_ulATWLut28,36.34307890000001,43.125065,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","84VG+62P, Mosul",2,54
84,مطعم ومأكولات كركور,ChIJDYUVtKWVB0ARu81MErYSYl8,36.3782363,43.1812292,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","95HJ+7FX، Unnamed Road, Mosul",2,28
85,Restaurant and Grill Mount Sinjar,ChIJ-2oHwVKVB0ARqN_MRzQUr40,36.3886322,43.155506,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,86
86,مطعم السبعاوي,ChIJK9tPdG6TB0AR2xsApXl_RVA,36.3289986,43.09730769999999,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","83HW+HWV، Unnamed Road, Mosul",2,33
87,مطعم ريتال,ChIJBQYBPTOVB0ARl9xaqKzESqY,36.3591407,43.1061984,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النجار الموصل جسل الثالث,2,0
88,مطعم سيد الكباب Sayd Alkabab,ChIJ05s4N1qVB0ARcrybgwj9o70,36.3674844,43.1896195,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","958Q+XVJ، حي المشراق،, Mosul",2,12
89,Fahody Restaurant,ChIJt4iUIJyVB0ARc3quyR8cfIA,36.3671333,43.1908815,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","958R+R8Q, Mosul",2,340
90,مطعم الموصل,ChIJgec-zPi9B0AR_vL521oJ3vQ,36.3570591,43.2816283,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",974J+R4، الموصل،،,2,24
91,مطعم هلو,ChIJ0-9OtayVB0ARC17tO5HXqz0,36.3692426,43.1821832,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","959J+MVV، Unnamed Road، الموصل،, Mosul",2,20
92,Tasty chicken Restaurant,ChIJ06Ju7-GVB0ARZaQwBMz9lgs,36.3673429,43.1881631,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","958Q+W7M، Unnamed Road، الموصل،, Mosul",2,27
93,مطعم العزائم,ChIJNcZYCtCTB0ARI5WhOvBnJEU,36.3397993,43.0927652,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","83QV+W46, 1, Mosul",2,3
94,مطعم قصر مينا,ChIJp0HctUqVB0ARW9PyznTkW6E,36.3349053,43.1886155,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","85MQ+XCH, Mosul",2,216
95,Al Jandool Restaurant,ChIJYdAw-OCUB0ART1noChAxsH4,36.3631211,43.1438434,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","947V+7GF, Mosul",2,792
96,Badr restaurant,ChIJKaSAZduVB0ARtLmgksxRhaI,36.364336,43.201825,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9672+PPP، حي البكر، الموصل،, Mosul",2,8
97,مطعم المشاهير نينوى,ChIJ4V5WrXSVB0ARDSWxTbE-dYk,36.3563264,43.1063948,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9444+GHC, Mosul",2,28
98,مطعم غازي,ChIJTeVhYkeVB0ARilUccVXQshk,36.3840126,43.1808665,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","95MJ+H8X، المصارف، الموصل،, Mosul",2,105
99,مطعم الغانم,ChIJFcNydYKTB0ARswh_HGE-n4A,36.348955,43.09834480000001,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","83XX+H9C, 1, Mosul",2,17
100,مطعم لفات قوزي,ChIJT7b2GrKVB0ARhdBopWLrN10,36.3339025,43.1382932,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","84MQ+H87، شارع الدواسة،, Mosul",2,24
101,لحم بعجين الزهراء 2,ChIJhfZxs5yVB0ARKzjLcMhaM5A,36.3585801,43.1057502,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9454+C8R, Mosul",2,0
102,مطعم كبابچي,ChIJdSpJ8LyVB0ARowVnTIxj1N4,36.34487680000001,43.1360324,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","84VP+W8Q, Mosul",2,21
103,مطعم لفي - laffe restaurant,ChIJZ9XGzPCVB0ARTgdlsAEf27k,36.3585537,43.145279,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Mosul,2,216
104,Rest & Café Floria,ChIJpWQiJNCVB0ARApGxvW_ZJC4,36.3406791,43.1555291,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","85R4+76C, Mosul",2,66
105,Abo jana sea food restaurant,ChIJB4EOJDaVB0ARiIjfnzcH3sk,36.3830316,43.1693936,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95M9+6P5، Unnamed Road،, Mosul",2,207
106,مطعم و كافي قصر السلطان,ChIJ4Wnv2ce_B0ARE1tb4kHvyDo,36.3846875,43.1869375,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Mosul",2,336
107,Restaurant City Tourism,ChIJ75tR6CyVB0ARtjMLW1YtuSw,36.377215,43.1327135,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","94GM+V3P, Mosul",2,32
108,مطعم ومشويات الزقورة,ChIJ20gzbS_DB0ARsxJjJu_yysM,36.4395077,43.10172439999999,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",قوسيات,2,18
109,مطعم جوهرة الموصل,ChIJpSonMRyVB0AREQjhlwhkYgA,36.3720856,43.1695207,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","95C9+RRJ، حي, Mosul",2,13
110,مطعم زاد الخير,ChIJpQIakvCVB0ARAZ8BAi7NDNA,36.34967049999999,43.1600422,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","85X6+V27، Unnamed Road, Mosul",2,19
111,مطعم الحضارة Al-Hathara Rest,ChIJsdGxzxmVB0ARc6N9y7c0yVI,36.362849,43.1444488,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","947V+4QP، Unnamed Road, Mosul",2,281
112,مطعم قوزي الغنام,ChIJu8N0yfqVB0ARnzYEdGbLpAA,36.3679989,43.1893567,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","959Q+6P9، بين دورة محمد طاهر زيناوه ودورة الجرار, Mosul",2,12
113,مطعم ماشاءالله,ChIJiUnfPvuVB0ARSnGjQeuvgmU,36.3559512,43.1132943,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","9447+98M، شارع المستشفى، الموصل،, Mosul",2,25
114,مطعم ايوان,ChIJw_bvBYKVB0ARyEXQ6cC7rSA,36.3419104,43.1283177,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","84RH+Q8G, Mosul",2,2
115,مطعم ومشويات القمه,ChIJJcIwrQaVB0ARwgeqMoCYr7Y,36.34845290000001,43.10902249999999,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","84X5+9MJ, Mosul",2,1
116,مطعم ليمونة,ChIJJTQyPMyVB0ARFp1E2mqMGYQ,36.3736822,43.18005309999999,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","95FJ+F2F، Unnamed Road, Mosul",2,9
117,كوفي وماكولات احمد غريب,ChIJJcBbGnyVB0ARuFUL6VPmP1c,36.34968840000001,43.1595397,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","85X5+VRF, Al Markaz Road, Mosul",2,4
118,مطعم السفير السياحي,ChIJG6qRpcy8B0AR8Iorm5IxLWE,36.3502192,43.3661585,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9928+3FM، محافظة, كلية النور, Bartella",2,84
119,مطعم لحم بعجين وكاهي الاصيل 2,ChIJ4ZP-8E2UB0ARH2Dz3d5t8fA,36.3501568,43.170194,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","952C+338, Mosul",2,75
120,مأكولات طبوش,ChIJxxAP6vmfB0ARIOZsCeRnLVQ,36.2704993,43.3725861,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",79CF+52W، بخديدا،,2,1
121,مأكولات ياهلا,ChIJvTbk3hSUB0ARTuYm5ZYLVug,36.3366203,43.1632285,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","85P7+J9C, 80, Mosul",2,66
122,ماكولات عزوز,ChIJawt_Qz-VB0AREqagWm-saEo,36.3603158,43.1011252,4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","9462+4FJ، Unnamed Road،, Mosul",2,5
123,ماكولات زمزم,ChIJRdhm9_uVB0ARFPzU3DTRxek,36.348536,43.1573405,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",85X4+CXC، الموصل،,2,0
