,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,مطعم بيت الحطاب,ChIJC4eHVos14D8R5yXy4UkoBHs,31.316118,45.2858903,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","878P+C9R, شارع الكورنيش،, Samawah",2,260
1,Subway pizza,ChIJT8CM4ME14D8Rur8WGShVmqw,31.3152689,45.2804504,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","878J+454, Samawah",2,35
2,مطعم مندي الديوان,ChIJr01OUDk14D8RezxpqO0E-jU,31.30750699999999,45.2748755,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","مطعم, شارع المحافظة، Samawah",2,4
3,مطعم البارون سماوة,ChIJk3UUlTM14D8RaEYVce2xrkA,31.3128395,45.2696812,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","AlAskan Street, Samawah",2,212
4,The Rose Restaurant,ChIJRTQIQ-k14D8RfOw7Sutsz_o,31.3152787,45.2842738,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","878M+4P6, Samawah",2,5
5,مطعم الملكة,ChIJ_7ZL-t414D8RPz8eMGo1X6k,31.3454188,45.2934146,3.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","87WV+696, Samawah",2,5
6,مطعم شاليه السماوة,ChIJJ0AAlO414D8RWU93TbHo5rU,31.3161758,45.2870362,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","878P+FRF، شارع الكورنيش, Samawah",2,185
7,مشويات حسني,ChIJFY5r1bk14D8Rp5Vv9EnH_BQ,31.3201589,45.2776988,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","87CH+338, Samawah",2,17
8,Quick Meal,ChIJsxii7zI14D8Rs_s-3rsx2Ys,31.3199908,45.27761810000001,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","879H+X3V, Samawah",2,2
9,مطعم عمو كرسبي,ChIJkVigf6k14D8RCWCsvzcaIqI,31.3114939,45.27687969999999,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","876G+HQV, Unnamed Road, Samawah",2,4
