,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Chili House & Lee's,ChIJwcwqwJnXXhURAT0NSPEsHDc,32.0081405,44.3595126,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","2955+7R2, Najaf",2,376
1,Smoke house bbq,ChIJuV0DuiXXXhURrxjGA3_FFFg,32.0023216,44.3638935,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","2927+WHC, Unnamed Road, Najaf",2,164
2,Eat & Go,ChIJQ9ud1VLVXhURSe0YzJVr-Nk,32.0838125,44.3331875,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","Unnamed Road 38MM+G7R الغدير الكوفه, Al Gadeer",2,25
3,مطعم الشهد,ChIJvxDw6UXXXhURhDe-mk-5b3U,31.9941455,44.3342277,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","X8VM+MM5, Najaf",2,72
4,مطعم باب الحارة ٢,ChIJ6-yLQQ_XXhUREqqZARZfes8,32.0032571,44.3575041,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","2935+822, Al Rawan St, Kufa",2,1
5,المطعم الباكستاني,ChIJZzxA4HzRXhURa6EgavkTBfw,31.99007719999999,44.3167554,4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","X8R8+2M7, Najaf",2,3
6,360 Restaurant,ChIJK7U47k_VXhURqmdcGRdcemQ,32.0833413,44.33327790000001,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","38MM+88J, Unnamed Road, Al Gadeer",2,48
7,مطعم حمزة,ChIJ7XEDllzXXhURKfp1xFyxKRI,31.9884286,44.3279424,2.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","X8QH+958, Unnamed Road, Najaf",2,2
8,مطعم كباب السلطان,ChIJgeysQXjXXhUR-iWx_Ua40iU,32.0034196,44.3663722,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","2938+9G8, Unnamed Road, Najaf",2,2
9,باباز فود,ChIJe5lqfG3VXhUR9MuFq1FPgZo,32.0861813,44.3320214,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","38PJ+FQX, Al Gadeer",2,0
10,كفتيريا تفاحة,ChIJo9NBUpvXXhUR-nXq-hj_HdA,32.0001685,44.36806929999999,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","2929+36F, Kufa",2,0
11,360 Restaurant,ChIJman5OcPXXhUR3T7dMgYNvo4,32.0011448,44.3584593,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","2925+F94, alrowan",2,3
12,Firefly burger,ChIJoeU04yXXXhUR9cWv5iFQC_s,32.0067299,44.3542359,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","2943+MPR, Al Rawan St, Kufa",2,69
13,مطعم لحمة وفخار,ChIJxxmn3DzXXhURyE5ybFE0-2o,32.0028026,44.3644972,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","2937+4QH, Kufa",2,78
14,Amber Restaurant,ChIJD0Rq3J_XXhURgWJbSJHdQ9E,32.0119999,44.3522155,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","2962+QR4, Najaf",2,0
15,FlaFel And Burger,ChIJHbBs7BXXXhURJJIvvSI1WDQ,31.9991088,44.343409,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","X8XV+J9V, Najaf",2,6
16,مطعم أواني - النجف,ChIJmxIaWJ_XXhUR2OInpUibUoI,32.0212659,44.3476281,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","شارع كلية الإدارة و الاقتصاد حي, Najaf",2,286
17,كرز للوجبات السريعة,ChIJARmOdizXXhUREelKxxzxLuw,31.999492,44.3419283,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","X8XR+QQV, شارع المثنى، النجف الاشرف،،, Najaf",2,116
18,Abou Gherban Restaurant,ChIJR4fXLffRXhURXnwgLTBZrwk,32.0279496,44.3105486,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","28H6+56M, Najaf",2,2
19,بيتزا سنونو,ChIJ5wXJ2mArXxURIuJBMVC-Awg,32.0347894,44.4020635,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","2CM2+WR8, Unnamed Road, Kufa",2,3
