,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Al Baraka Restaurant,ChIJI68clKrRVhURKCia195HN6w,34.1974332,43.8956904,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","5VWW+X7G, شارع الرازق، سامراء،،, سامراء،",2,7
1,مطعم قصر المندي | سامراء,ChIJc-wJR33RVhURhAAtizLWL3I,34.194065,43.9013001,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","5WV2+JGF, Unnamed Road،،, Samarra",2,107
2,MACFRIES CHICKEN,ChIJrS4Fs1zRVhURsdUvQWe9A-k,34.20102240000001,43.8952792,2.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","6V2W+C42، Unnamed Road، سامراء،, Samarra",2,7
3,باب الحارة,ChIJ02aUMzfRVhURLgrz0b99FKk,34.1946815,43.8891418,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","5VVQ+VR, Samarra",2,0
4,مطعم أبو حمزة,ChIJS3zRC3bRVhURsEXyVlXt2pY,34.2022084,43.902945,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","6W23+V5P, Samarra",2,106
5,كباب دجلة,ChIJ4fRYsD7dVhURBAnOj6FbOBo,34.084136,44.0214493,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","32MC+MH4, Ishaqi",2,3
6,Viking burger,ChIJpQAYDVjRVhUREWSzsMj7_R4,34.2042424,43.9004155,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",6W32+M5V، سامراء،,2,53
7,22 توينتي تو,ChIJZTkGEUPRVhURUmsWaK0W8EY,34.1948173,43.889136,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","5VVQ+VR, Samarra",2,0
8,مطعم,ChIJR6NTYDTRVhURunkThb8tza0,34.1660043,43.9055155,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",5W84+C62، سامراء،,2,0
9,مأكولات ركن الخضراء,ChIJEYjbxjbPVhURRGLntKa39mA,34.2031931,43.9041045,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","6W33+7JH, Samarra",2,7
10,مأكولات مشمشة,ChIJY664ewbRVhUR_LbNjJonbzQ,34.18915200000001,43.8748055,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",شارع الفاطمي، سامراء،,2,169
11,مطعم فريندز,ChIJm4PxwNPRVhURwdDaWb3H8rk,34.197847,43.9017322,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","5WX2+4PJ، شارع الأمين - حي الشرطة, Samarra",2,58
12,مأكولات الصقر,ChIJYxjLq73RVhURg8mCgSA6hxM,34.1907716,43.8932384,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",5VRV+77Q، سامراء،,2,24
13,مطعم ومشويات علاوي,ChIJCctS19bXVhURCiKIXRy0-QA,34.1246935,43.8693134,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4VF9+VPG, 1, Raqqa",2,1
14,مطعم الفهد,ChIJF4f67k3RVhURl1X5ZRzar6k,34.1902311,43.89538719999999,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","الجبيريه الضباط سامراء, الاوله",2,1
15,مطعم الوسام,ChIJN36rojvRVhURCNTBqMqcj6s,34.1889182,43.8757234,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","5VQG+H79, Samarra",2,1
16,مطعم النور السياحي,ChIJL0JtCaDWVhURTMbPmrMETq4,34.1304599,43.8670648,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","1, Raqqa",2,264
