,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
0,Jollas Restaurant,ChIJ89bOmLgxAEARGHSuuYZj_LY,35.57251249999999,45.3522303,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","H9F2+2V5, Kirkuk Road, Sulaymaniyah",2,37
1,Grill House Restaurant گریل هاوس ریستورانت,ChIJUXKteIbSAUAR-8aCMcCdoh4,35.628201,45.495104,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","Setak - 200 meters after Peshraw Tunnel, Sulaymaniyah",2,51
2,Patra Restaurant,ChIJcb87vIjSAUARKM0BWLxHidI,35.6281262,45.4955125,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","سلێمانی - سیتەک- خوار تونێلی پێشرەو, Azmar Rd",2,64
3,Shameran Restaurant مطعم شه ميران,ChIJwQumSeUtAEAR-S3ETo_l1-o,35.5753446,45.4665226,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","50 / 218, Sulaymaniyah",2,38
4,Emerald Restaurant مطعم اميرالد,ChIJvxm25RYtAEARIaTpX0dC2PA,35.557151,45.4285821,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Ramada by Wyndham Sulaymaniyah Salim Street, Second Floor, Salim Street, Sulaymaniyah",2,77
5,Diwan Restaurant,ChIJtYv4hSQsAEAR9sewWjOYYgM,35.5609395,45.4340056,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","HC6M+9JC, Sulaymaniyah",2,464
6,Hazarmerd restaurant,ChIJP5rGnAQlAEARn0FqRAQHdtk,35.5194492,45.356384,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","G994+QHJ, Unnamed Road, Sulaymaniyah",2,57
7,Nepali Restaurant & Bar,ChIJyUKt8iQtAEARvXavJltjeuI,35.5558244,45.4325185,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","HC4J+CXF, Nepali Restaurant &Bar, Salim Street, Sulaymaniyah",2,38
8,خواردەمەنی تین تین Tin Tin Restaurant,ChIJ2cIitLUvAEARfH_JS8x25rc,35.5642853,45.402104,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","HC72+PR9, Salim Street, Sulaymaniyah",2,103
9,Sazy Fast food گەسی سازی,ChIJNY047EMsAEARdKejUi5BRDE,35.568308,45.45260210000001,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Tuy Malik St, Sulaymaniyah",2,268
10,مطعم نەورۆز :newroz restaurant,ChIJV73NGrItAEARxDOEU6o3Zdw,35.5532442,45.4396227,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","HC3Q+8R4, Kawa St, Sulaymaniyah",2,17
11,Starwood restaurant,ChIJHarwPBYtAEARUpmjwUcm55c,35.5807765,45.4040061,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","HCJ3+8J6, Malik Mahmud Ring Road, Sulaymaniyah",2,2
12,Ninova Restaurant,ChIJ-S5CJ4guAEARZwJWUybtUd8,35.5591282,45.4026778,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","HC53+M33, Tri St, Sulaymaniyah",2,163
13,Dublin Restaurant,ChIJ6TChWdwtAEARZX152rLksRc,35.5611,45.4404,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","HC6R+C5J, Unnamed Road, Sulaymaniyah",2,11
14,Primo Cafe and Restaurant,ChIJ45wImvUtAEAR3cg0PBdh5M0,35.5769621,45.4598476,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",Tuimalik street Sulaymaniyah Zmain rood,2,228
15,Sazy restaurant 1,ChIJrwOGVpMvAEARWYLgUs2-vWM,35.5626574,45.4064114,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Salim Street, Sulaymaniyah",2,68
16,Bryani Fooda - مطعم برياني - خواردەمەنی بریانی,ChIJ3YRrGi8zAEARh9y1hzYZP7g,35.5822982,45.375289,4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","H9JG+V48, Sulaymaniyah",2,7
17,Rihanna Rest & Cafe,ChIJcfr_jtstAEARqzO2ZckWIwg,35.5603587,45.4275677,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","17 Şeqamî Bêxud, Sulaymaniyah",2,88
18,Viola's Restaurant,ChIJm72LAtsvAEARLUYbNUFV5Jk,35.5433433,45.39823639999999,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","G9VX+982, Unnamed Road, Sulaymaniyah",2,51
19,Best Shawarma,ChIJkytYRwctAEARJqBFG7Ov00E,35.5671076,45.455756,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","HF94+35X, Sulaymaniyah",2,2
20,Salute,ChIJDTXHo-ItAEARSQhBE6o55Xk,35.577108,45.386452,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Sarchinar Main Street, Sulaymaniyah",2,21
21,Zoya Restaurant,ChIJDfVenwotAEAReMl6Lpmbxw8,35.6080752,45.45314219999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","JF53+67J, Unnamed Road, Sulaymaniyah",2,30
22,مطعم الصمد Al-Samad restaurant,ChIJ3z1ulRQtAEARoq-CmOZMQAU,35.5565873,45.4430051,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","HC4V+J4F, Sulaymaniyah",2,6
23,Zhalla restaurant (کەباب و چێشتخانەی ژاڵە),ChIJA9dbs6EpAEARVzaobpyYapA,35.506955,45.44530400000001,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","GC5V+3VX, Sulaymaniyah",2,4
24,Sfrachi Restaurant پڕۆژەی سفرەچی,ChIJGyvxeWYtAEARI-LVIAw-EIw,35.5723348,45.4298648,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","HCCH+WWQ, Ashti St, Sulaymaniyah",2,2
25,Xanim Restaurant,ChIJby5jTy0tAEARC9LB6dHeJCo,35.562377,45.4166681,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","HC68+XM3, Qadam Kher St, Sulaymaniyah",2,59
